Run_ID,Framework,PDR (%),Avg E2E Delay (ms),MNII
Standard RPL (No Security)_Run1,Standard RPL (No Security),35.11,2386.3,0.0
Standard RPL (No Security)_Run2,Standard RPL (No Security),29.56,2619.5,0.0
Standard RPL (No Security)_Run3,Standard RPL (No Security),34.38,2444.6,0.0
Standard RPL (No Security)_Run4,Standard RPL (No Security),35.33,2528.1,0.0
Standard RPL (No Security)_Run5,Standard RPL (No Security),34.7,2574.8,0.0
Standard RPL (No Security)_Run6,Standard RPL (No Security),32.56,2806.6,0.0
Standard RPL (No Security)_Run7,Standard RPL (No Security),32.37,2599.5,0.0
Standard RPL (No Security)_Run8,Standard RPL (No Security),31.84,2544.6,0.0
Standard RPL (No Security)_Run9,Standard RPL (No Security),29.84,2554.4,0.0
Standard RPL (No Security)_Run10,Standard RPL (No Security),33.62,2572.6,0.0
Standard RPL (No Security)_Run11,Standard RPL (No Security),38.42,2492.9,0.0
Standard RPL (No Security)_Run12,Standard RPL (No Security),37.14,2750.9,0.0
Standard RPL (No Security)_Run13,Standard RPL (No Security),31.72,2709.1,0.0
Standard RPL (No Security)_Run14,Standard RPL (No Security),34.22,2413.1,0.0
Standard RPL (No Security)_Run15,Standard RPL (No Security),37.53,2298.2,0.0
Standard RPL (No Security)_Run16,Standard RPL (No Security),38.53,2628.0,0.0
Standard RPL (No Security)_Run17,Standard RPL (No Security),35.2,2600.3,0.0
Standard RPL (No Security)_Run18,Standard RPL (No Security),38.64,2471.2,0.0
Standard RPL (No Security)_Run19,Standard RPL (No Security),35.78,2804.9,0.0
Standard RPL (No Security)_Run20,Standard RPL (No Security),33.79,2661.7,0.0
Standard RPL (No Security)_Run21,Standard RPL (No Security),33.89,2326.8,0.0
Standard RPL (No Security)_Run22,Standard RPL (No Security),34.13,2504.8,0.0
Standard RPL (No Security)_Run23,Standard RPL (No Security),40.56,2728.0,0.0
Standard RPL (No Security)_Run24,Standard RPL (No Security),37.09,2504.0,0.0
Standard RPL (No Security)_Run25,Standard RPL (No Security),35.59,2717.5,0.0
Standard RPL (No Security)_Run26,Standard RPL (No Security),32.9,2440.0,0.0
Standard RPL (No Security)_Run27,Standard RPL (No Security),36.53,2429.8,0.0
Standard RPL (No Security)_Run28,Standard RPL (No Security),38.88,2622.3,0.0
Standard RPL (No Security)_Run29,Standard RPL (No Security),34.58,2683.5,0.0
Standard RPL (No Security)_Run30,Standard RPL (No Security),36.38,2719.2,0.0
Standard RPL (No Security)_Run31,Standard RPL (No Security),33.82,2691.6,0.0
Standard RPL (No Security)_Run32,Standard RPL (No Security),34.01,2269.8,0.0
Standard RPL (No Security)_Run33,Standard RPL (No Security),32.53,2393.1,0.0
Standard RPL (No Security)_Run34,Standard RPL (No Security),38.28,2586.9,0.0
Standard RPL (No Security)_Run35,Standard RPL (No Security),38.68,2430.9,0.0
Standard RPL (No Security)_Run36,Standard RPL (No Security),38.38,2207.1,0.0
Standard RPL (No Security)_Run37,Standard RPL (No Security),34.92,2731.0,0.0
Standard RPL (No Security)_Run38,Standard RPL (No Security),37.95,2713.9,0.0
Standard RPL (No Security)_Run39,Standard RPL (No Security),36.73,2512.7,0.0
Standard RPL (No Security)_Run40,Standard RPL (No Security),34.8,2790.5,0.0
