Run_ID,Framework,Network Lifetime (50% Depletion - hrs),Avg PDR (%)
Standard RPL (No Security)_Run1,Standard RPL (No Security),80.0,41.7
Standard RPL (No Security)_Run2,Standard RPL (No Security),90.0,38.85
Standard RPL (No Security)_Run3,Standard RPL (No Security),78.0,40.5
Standard RPL (No Security)_Run4,Standard RPL (No Security),84.0,39.85
Standard RPL (No Security)_Run5,Standard RPL (No Security),83.0,42.88
Standard RPL (No Security)_Run6,Standard RPL (No Security),84.0,45.3
Standard RPL (No Security)_Run7,Standard RPL (No Security),80.0,39.23
Standard RPL (No Security)_Run8,Standard RPL (No Security),86.0,46.26
Standard RPL (No Security)_Run9,Standard RPL (No Security),83.0,40.49
Standard RPL (No Security)_Run10,Standard RPL (No Security),87.0,41.43
Standard RPL (No Security)_Run11,Standard RPL (No Security),82.0,42.98
Standard RPL (No Security)_Run12,Standard RPL (No Security),82.0,40.24
Standard RPL (No Security)_Run13,Standard RPL (No Security),72.0,40.22
Standard RPL (No Security)_Run14,Standard RPL (No Security),77.0,40.79
Standard RPL (No Security)_Run15,Standard RPL (No Security),78.0,44.13
Standard RPL (No Security)_Run16,Standard RPL (No Security),83.0,42.47
Standard RPL (No Security)_Run17,Standard RPL (No Security),75.0,40.24
Standard RPL (No Security)_Run18,Standard RPL (No Security),83.0,42.87
Standard RPL (No Security)_Run19,Standard RPL (No Security),83.0,47.06
Standard RPL (No Security)_Run20,Standard RPL (No Security),86.0,37.86
Standard RPL (No Security)_Run21,Standard RPL (No Security),86.0,40.38
Standard RPL (No Security)_Run22,Standard RPL (No Security),76.0,42.24
Standard RPL (No Security)_Run23,Standard RPL (No Security),75.0,38.8
Standard RPL (No Security)_Run24,Standard RPL (No Security),71.0,42.01
Standard RPL (No Security)_Run25,Standard RPL (No Security),90.0,42.76
Standard RPL (No Security)_Run26,Standard RPL (No Security),79.0,43.44
Standard RPL (No Security)_Run27,Standard RPL (No Security),89.0,43.11
Standard RPL (No Security)_Run28,Standard RPL (No Security),85.0,39.5
Standard RPL (No Security)_Run29,Standard RPL (No Security),76.0,42.53
Standard RPL (No Security)_Run30,Standard RPL (No Security),83.0,38.6
Standard RPL (No Security)_Run31,Standard RPL (No Security),83.0,43.05
Standard RPL (No Security)_Run32,Standard RPL (No Security),79.0,42.22
Standard RPL (No Security)_Run33,Standard RPL (No Security),81.0,39.77
Standard RPL (No Security)_Run34,Standard RPL (No Security),87.0,39.39
Standard RPL (No Security)_Run35,Standard RPL (No Security),83.0,40.58
Standard RPL (No Security)_Run36,Standard RPL (No Security),87.0,40.73
Standard RPL (No Security)_Run37,Standard RPL (No Security),87.0,45.64
Standard RPL (No Security)_Run38,Standard RPL (No Security),82.0,41.35
Standard RPL (No Security)_Run39,Standard RPL (No Security),80.0,48.86
Standard RPL (No Security)_Run40,Standard RPL (No Security),93.0,38.73
Standard RPL (No Security)_Run41,Standard RPL (No Security),78.0,42.48
Standard RPL (No Security)_Run42,Standard RPL (No Security),82.0,37.55
Standard RPL (No Security)_Run43,Standard RPL (No Security),77.0,42.88
Standard RPL (No Security)_Run44,Standard RPL (No Security),83.0,38.89
Standard RPL (No Security)_Run45,Standard RPL (No Security),86.0,44.57
Standard RPL (No Security)_Run46,Standard RPL (No Security),82.0,40.4
Standard RPL (No Security)_Run47,Standard RPL (No Security),83.0,37.92
Standard RPL (No Security)_Run48,Standard RPL (No Security),79.0,40.38
Standard RPL (No Security)_Run49,Standard RPL (No Security),83.0,36.79
Standard RPL (No Security)_Run50,Standard RPL (No Security),81.0,39.36
Ideal Scenario (No Attackers)_Run1,Ideal Scenario (No Attackers),208.0,98.82
Ideal Scenario (No Attackers)_Run2,Ideal Scenario (No Attackers),209.0,98.05
Ideal Scenario (No Attackers)_Run3,Ideal Scenario (No Attackers),200.0,97.67
Ideal Scenario (No Attackers)_Run4,Ideal Scenario (No Attackers),206.0,98.37
Ideal Scenario (No Attackers)_Run5,Ideal Scenario (No Attackers),207.0,98.08
Ideal Scenario (No Attackers)_Run6,Ideal Scenario (No Attackers),199.0,97.39
Ideal Scenario (No Attackers)_Run7,Ideal Scenario (No Attackers),196.0,97.92
Ideal Scenario (No Attackers)_Run8,Ideal Scenario (No Attackers),220.0,97.53
Ideal Scenario (No Attackers)_Run9,Ideal Scenario (No Attackers),213.0,98.66
Ideal Scenario (No Attackers)_Run10,Ideal Scenario (No Attackers),197.0,97.25
Ideal Scenario (No Attackers)_Run11,Ideal Scenario (No Attackers),200.0,97.49
Ideal Scenario (No Attackers)_Run12,Ideal Scenario (No Attackers),198.0,98.3
Ideal Scenario (No Attackers)_Run13,Ideal Scenario (No Attackers),206.0,98.95
Ideal Scenario (No Attackers)_Run14,Ideal Scenario (No Attackers),206.0,98.11
